        Day,    VL,    lod,    
                   0,	   1.3895118104802338e+00, -1,  	
   2.8523022045509570e+00,	   2.9359449525704724e+00, 0, 	
   6.9674401781604578e+00,	   4.8268446500920632e+00, 0, 	
   9.9395196795344880e+00,	   2.9217358629239296e+00, 0, 	
   1.4101745891308214e+01,	   3.2728054758170506e+00, 0, 	
   1.6980275173967495e+01,	   3.2834128912332456e+00, 0, 	
   2.3243997798810405e+01,	   3.7055337820678815e+00, 0, 	
   2.3161369212078128e+01,	   3.7664525704460106e+00, 0, 	
   3.5141942160367584e+01,	   8.0504312101614728e-01, 0, 	
   3.5115486305927469e+01,	   5.2761565338059402e-01, 0, 	
   4.8930598811325133e+01,	   1.7080179644696556e+00, -1,  	
